,accessibilité,adresse,alt,architecte,artiste,bouches,code,construction,corresp 1,corresp 2,corresp 3,corresp 4,corresp 5,exploitant,fermeture,géolocalisation,image,latitude,ligne,ligne  1,ligne 1,ligne 2,ligne 3,ligne 4,ligne 5,longitude,longueur,légende,mise en service,nom,nom inaugural,pays,position,propriétaire,quais,quartier,station précédente 1,station précédente 2,station précédente 3,station précédente 4,station précédente 5,station suivante 1,station suivante 2,station suivante 3,station suivante 4,station suivante 5,subdivision,taille image,titre corresp 1,titre corresp 2,titre corresp 3,titre corresp 4,titre corresp 5,titre quartier,titre subdivision,transit,url,ville,voies,zone
Châtelet (métro de Paris),,,,,,,108.0,,"['RER/correspondances avec intitulé|A|B|D', 'Gare de Châtelet - Les Halles|Châtelet - Les Halles']","['Bus RATP/correspondances avec intitulé|21|38|47|58|67|69', 'Bus RATP/correspondances|70|72|74|75|76|85|96']","['Noctilien/correspondances avec intitulé|N11|N12|N13|N14|N15|N16', 'Noctilien/correspondances|N21|N22|N23|N24|N122', 'Noctilien/correspondances|N144|N145']",,,RATP,,Paris/1er arrondissement de Paris/4e arrondissement de Paris,Paris metro entrance Sainte-Opportune.jpg,48.8585195224421,['Métro de Paris/correspondances|1|4|7|11|14'],,['Métro de Paris/correspondance|1'],['Métro de Paris/correspondance|4'],['Métro de Paris/correspondance|7'],['Métro de Paris/correspondance|11'],['Métro de Paris/correspondance|14'],2.34711940104793,"['Métro de Paris/correspondance|1', 'Métro de Paris/correspondance|4', 'Métro de Paris/correspondance|7', 'Unité|90|m', 'Métro de Paris/correspondance|11', 'Unité|75|m', 'Métro de Paris/correspondance|14', 'Unité|120|m']","['Édicule Guimard', 'place Sainte-Opportune']","['Date|6|août|1900|dans les chemins de fer', 'Métro de Paris/correspondance|1', 'Date|21|avril|1908|dans les chemins de fer', 'Métro de Paris/correspondance|4', 'Date|16|avril|1926|dans les chemins de fer', 'Métro de Paris/correspondance|7', 'Date|28|avril|1935|dans les chemins de fer', 'Métro de Paris/correspondance|11', 'Date|15|octobre|1998|dans les chemins de fer', 'Métro de Paris/correspondance|14']",Châtelet,,['France'],,['Régie autonome des transports parisiens|RATP'],10.0,"['er', 'e']",['Louvre - Rivoli (métro de Paris)|Louvre - Rivoli'],['Les Halles (métro de Paris)|Les Halles'],['Pont-Neuf (métro de Paris)|Pont-Neuf'],'''Terminus''',['Pyramides (métro de Paris)|Pyramides'],['Hôtel de Ville (métro de Paris)|Hôtel de Ville'],['Cité (métro de Paris)|Cité'],['Pont Marie (métro de Paris)|Pont Marie'],['Hôtel de Ville (métro de Paris)|Hôtel de Ville'],['Gare de Lyon (métro de Paris)|Gare de Lyon'],,,RER,Bus RATP,Noctilien,,,Arrondissement,,['formatnum:13929657'],https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2telet_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],11.0,1.0
Châtillon - Montrouge (métro de Paris),,,,,,,27-09,,"[""Tramway d'Île-de-France/correspondances avec intitulé|6""]","['Bus RATP/correspondances avec intitulé|68|194|195', 'Bus RATP/correspondances|294|323|388|391', 'Bus RATP/correspondances|Montbus|Amibus']",['Bus Optile/correspondances avec intitulé|Sqybus|475'],['Noctilien/correspondances avec intitulé|N63|N66'],,RATP,,Paris et la petite couronne,Paris metro - Châtillon-Montrouge - 3.JPG,48.81053941501507,['Métro de Paris/correspondance|13'],,['Métro de Paris/correspondance|13'],['Métro de Paris/correspondance|15'],,,,2.3018261790275574,,['Paris'],['Date|9|novembre|1976|dans les chemins de fer'],Châtillon - Montrouge,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Malakoff - Rue Étienne-Dolet (métro de Paris)|Malakoff - Rue Étienne-Dolet'],"[""Fort d'Issy - Vanves - Clamart (métro de Paris)|Fort d'Issy - Vanves - Clamart""]",,,,'''Terminus''',['Bagneux - Lucie Aubrac (métro de Paris)|Bagneux - Lucie Aubrac'],,,,,,Tramway,Bus RATP,Sqybus,Noctilien,,,,['formatnum:7124158'],https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2tillon_-_Montrouge_(m%C3%A9tro_de_Paris)&action=raw,"['Châtillon (Hauts-de-Seine)|Châtillon', 'Montrouge', 'Bagneux (Hauts-de-Seine)|Bagneux', 'Malakoff (Hauts-de-Seine)|Malakoff']",3.0,
Chaussée d'Antin - La Fayette (métro de Paris),,,,,,,2101.0,,['Bus RATP/correspondances avec intitulé|45|68'],,,,,RATP,,Paris/9e arrondissement de Paris,Paris - Chaussée d'Antin La Fayette Station (23442445491).jpg,48.873072321402,['Métro de Paris/correspondances|7|9'],,['Métro de Paris/correspondance|7'],['Métro de Paris/correspondance|9'],,,,2.3339322209358215,,Un quai de la ligne 9.,"['Date|5|novembre|1910|dans les chemins de fer', 'Métro de Paris/correspondance|7', 'Date|3|juin|1923|dans les chemins de fer', 'Métro de Paris/correspondance|9']",Chaussée d'Antin -<br />La Fayette,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Le Peletier (métro de Paris)|Le Peletier'],['Havre - Caumartin (métro de Paris)|Havre - Caumartin'],,,,['Opéra (métro de Paris)|Opéra'],['Richelieu - Drouot (métro de Paris)|Richelieu - Drouot'],,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:7600254'],https://fr.wikipedia.org/w/index.php?title=Chauss%C3%A9e_d%27Antin_-_La_Fayette_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Chemin Vert (métro de Paris),,,,,,,1213.0,,['Bus RATP/correspondances avec intitulé|29|69|91'],['Noctilien/correspondances avec intitulé|N01|N02'],,,,RATP,,Paris/11e arrondissement de Paris/3e arrondissement de Paris,Metro de Paris - Ligne 8 - Chemin Vert 01.jpg,48.856777581364625,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],,,,,2.368347644805908,,Quais de la station.,['Date|5|mai|1931|dans les chemins de fer'],Chemin Vert,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Saint-Sébastien - Froissart (métro de Paris)|Saint-Sébastien - Froissart'],,,,,['Bastille (métro de Paris)|Bastille'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",['Noctilien'],,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1483745'],https://fr.wikipedia.org/w/index.php?title=Chemin_Vert_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Chevaleret (métro de Paris),,,,,,,902.0,,['Bus RATP/correspondances nombreuses avec intitulé|61'],,,,,RATP,,Paris/13e arrondissement de Paris,Metro ligne6.jpg,48.83493766552989,['Métro de Paris/correspondance|6'],,['Métro de Paris/correspondance|6'],,,,,2.368082106113434,,['MP 73'],['Date|1er mars 1909|dans les chemins de fer'],Chevaleret,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Nationale (métro de Paris)|Nationale'],,,,,['Quai de la Gare (métro de Paris)|Quai de la Gare'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['Unité|3550425|voyageurs'],https://fr.wikipedia.org/w/index.php?title=Chevaleret_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Cité (métro de Paris),,,,,,,114.0,,"['Bus RATP/correspondances nombreuses avec intitulé|21|27|38|47', 'Bus RATP/correspondances|58|96|OpenTour']","['Noctilien/correspondances avec intitulé|N12|N13|N14|N15', 'Noctilien/correspondances|N21|N22']",,,,RATP,,Paris/4e arrondissement de Paris,Metro - Paris - Ligne 4 - station Cite.jpg,48.8551005857888,['Métro de Paris/correspondance|4'],,['Métro de Paris/correspondance|4'],,,,,2.3467203742446,,"['Édicule Guimard', 'place Louis-Lépine']",['Date|10|décembre|1910|dans les chemins de fer'],Cité,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Châtelet (métro de Paris)|Châtelet'],,,,,['Saint-Michel (métro de Paris)|Saint-Michel'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['Unité|2109969|voyageurs'],https://fr.wikipedia.org/w/index.php?title=Cit%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Cluny - La Sorbonne (métro de Paris),,,,,,,105.0,,"['RER/correspondances avec intitulé|B|C', 'Gare de Saint-Michel - Notre-Dame|Saint-Michel - Notre-Dame']","['Bus RATP/correspondances avec intitulé|21|27|38|63|85|86', 'Bus RATP/correspondances||87|96|OpenTour']","['Noctilien/correspondances avec intitulé|N12|N13|N14|N15|N21', 'Noctilien/correspondances|N22|N122']",,,['Régie autonome des transports parisiens|RATP'],,Paris/5e arrondissement de Paris/France,Metro de Paris - Ligne 10 - Cluny - La Sorbonne 01.jpg,48.851050282314304,['Métro de Paris/correspondance|10'],,,,,,,2.344273345421351,,Les quais de la station avec au milieu la voie de raccordement avec la ligne 4.,"['date|15|février|1930|dans les chemins de fer', 'date|2|septembre|1939|dans les chemins de fer', 'Date|15|décembre|1988|dans les chemins de fer']",Cluny - La Sorbonne,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Odéon (métro de Paris)|Odéon'],,,,,['Maubert - Mutualité (métro de Paris)|Maubert - Mutualité'],,,,,,,"[""Réseau express régional d'Île-de-France|RER""]",Bus,Noctilien,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2509657'],https://fr.wikipedia.org/w/index.php?title=Cluny_-_La_Sorbonne_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],3.0,
Colonel Fabien (métro de Paris),,,,,,,2215.0,,['Bus RATP/correspondances avec intitulé|46|75'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/19e arrondissement de Paris/10e arrondissement de Paris,Édicule Guimard - station Colonel Fabien.jpg,48.877136,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.37116,,Entrée de la station.,['Date|31|janvier|1903|dans les chemins de fer'],Colonel Fabien,Combat,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Jaurès (métro de Paris)|Jaurès'],,,,,['Belleville (métro de Paris)|Belleville'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:4808282'],https://fr.wikipedia.org/w/index.php?title=Colonel_Fabien_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Commerce (métro de Paris),,,,,,,17-05,,['Bus RATP/correspondances avec intitulé|70|88'],,,,,RATP,,Paris/15e arrondissement de Paris,Commerce - Quai décalé (2).JPG,48.845093,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],,,,,2.294215,,['MF 77'],"['27 juillet dans les chemins de fer|27 juillet', '1937 dans les chemins de fer|1937']",Commerce,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Félix Faure (métro de Paris)|Félix Faure'],,,,,['La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2814912'],https://fr.wikipedia.org/w/index.php?title=Commerce_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Concorde (métro de Paris),,,,,,,1002.0,,"['Bus RATP/correspondances avec intitulé|42|45|72|73', 'Bus RATP/correspondances|84|94|OpenTour']",['Noctilien/correspondances avec intitulé|N11|N24'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/8e arrondissement de Paris/1er arrondissement de Paris,Metro de Paris - Ligne 12 - Concorde 03.jpg,48.866176,['Métro de Paris/correspondances|1|8|12'],,['Métro de Paris/correspondance|1'],['Métro de Paris/correspondance|8'],['Métro de Paris/correspondance|12'],,,2.322397,,"[""Déclaration des droits de l'homme et du citoyen de 1789""]","['13 août dans les chemins de fer|13 août', '1900 dans les chemins de fer|1900', 'Métro de Paris/correspondances|1', '5 novembre dans les chemins de fer|5 novembre', '1910 dans les chemins de fer|1910', 'Métro de Paris/correspondances|12', '12 mars dans les chemins de fer|12 mars', '1914 dans les chemins de fer|1914', 'Métro de Paris/correspondances|8']",Concorde,,['France'],,['Régie autonome des transports parisiens|RATP'],6.0,"['er', 'e']",['Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau'],['Invalides (métro de Paris)|Invalides'],['Madeleine (métro de Paris)|Madeleine'],,,['Tuileries (métro de Paris)|Tuileries'],['Madeleine (métro de Paris)|Madeleine'],['Assemblée nationale (métro de Paris)|Assemblée nationale'],,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:7176639'],https://fr.wikipedia.org/w/index.php?title=Concorde_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],6.0,1.0
Convention (métro de Paris),,,,,,,1605.0,,['Bus RATP/correspondances nombreuses avec intitulé|39|62|80'],,,,,['Régie autonome des transports parisiens|RATP'],,Paris/15e arrondissement de Paris,Metro 12 quais Convention.JPG,48.837419,['Métro de Paris/correspondance|12'],,['Métro de Paris/correspondance|12'],,,,,2.296795,,Quais de la station.,['Date|5 novembre 1910|dans les chemins de fer'],Convention,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Vaugirard (métro de Paris)|Vaugirard'],,,,,['Porte de Versailles (métro de Paris)|Porte de Versailles'],,,,,,,Bus,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:5792331'],https://fr.wikipedia.org/w/index.php?title=Convention_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Corentin Cariou (métro de Paris),,,,,,,22-04,,['Noctilien/correspondances avec intitulé|N42'],,,,,RATP,,Paris/19e arrondissement de Paris,Station_Corentin_Cariou.JPG,48.89473,['Métro de Paris/correspondance|7'],,['Métro de Paris/correspondance|7'],,,,,2.382307,,,['Date|5|novembre|1910|dans les chemins de fer'],Corentin Cariou,Pont de Flandre,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Porte de la Villette (métro de Paris)|Porte de la Villette'],,,,,['Crimée (métro de Paris)|Crimée'],,,,,,,Noctilien,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:3178424'],https://fr.wikipedia.org/w/index.php?title=Corentin_Cariou_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Corentin Celton (métro de Paris),,,,,,,2802.0,,['Bus RATP/correspondances nombreuses avec intitulé|126|189|394|TUVIM'],['Noctilien/correspondances avec intitulé|N62'],,,,RATP,,Paris et la petite couronne,Paris metro - Corentin Celton - 1.JPG,48.826833,['Métro de Paris/correspondance|12'],,['Métro de Paris/correspondance|12'],,,,,2.278985,,['MF 67'],"['24 mars dans les chemins de fer|24 mars', '1934 dans les chemins de fer|1934']",Corentin Celton,Petits Ménages,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Porte de Versailles (métro de Paris)|Porte de Versailles'],,,,,"[""Mairie d'Issy (métro de Paris)|Mairie d'Issy""]",,,,,,,Bus,Noctilien,,,,,,['formatnum:3380242'],https://fr.wikipedia.org/w/index.php?title=Corentin_Celton_(m%C3%A9tro_de_Paris)&action=raw,['Issy-les-Moulineaux'],2.0,2.0
Corvisart (métro de Paris),,,,,,,1415.0,,['Bus RATP/correspondances nombreuses avec intitulé|57|64|67'],,,,,RATP,,Paris/13e arrondissement de Paris,Estación de Corvisart 1 2019.jpg,48.82980682532293,['Métro de Paris/correspondances|6'],,['Métro de Paris/correspondance|6'],,,,,2.3505082726478577,,"[""Place d'Italie (métro de Paris)|''Place d'Italie''""]",['date|24|avril|1906|dans les chemins de fer'],Corvisart,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Glacière (métro de Paris)|Glacière'],,,,,"[""Place d'Italie (métro de Paris)|Place d'Italie""]",,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2622998'],https://fr.wikipedia.org/w/index.php?title=Corvisart_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Cour Saint-Émilion (métro de Paris),,,,,,,15-01 et EMI,,['Bus RATP/correspondances nombreuses avec intitulé|24|64|109|111'],,,,,RATP,,Paris/12e arrondissement de Paris,Cour Saint Emilion mezzanine.jpg,48.8333385593,['Métro de Paris/correspondance|14'],,['Métro de Paris/correspondance|14'],,,,,2.38663240207,,La station vue depuis la mezzanine.,['Date|15|octobre|1998|dans les chemins de fer'],Cour Saint-Émilion,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Bercy (métro de Paris)|Bercy'],,,,,['Bibliothèque François-Mitterrand (métro de Paris)|Bibliothèque François-Mitterrand'],,,,,,,Bus RATP,,,,,Arrondissement,,['formatnum:5857110'],https://fr.wikipedia.org/w/index.php?title=Cour_Saint-%C3%89milion_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Courcelles (métro de Paris),,,,,,,1815.0,,['Bus RATP/correspondances avec intitulé|30|84'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/17e arrondissement de Paris/8e arrondissement de Paris,Courcelles-quai-rame.jpg,48.879401,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.304339,,['MF 67'],['Date|7|octobre|1902|dans les chemins de fer'],Courcelles,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Ternes (métro de Paris)|Ternes'],,,,,['Monceau (métro de Paris)|Monceau'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2650620'],https://fr.wikipedia.org/w/index.php?title=Courcelles_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Couronnes (métro de Paris),,,,,,,24-13,,['Bus RATP/correspondances avec intitulé|20|71|96'],['Noctilien/correspondances avec intitulé|N12|N23'],,,,RATP,,Ligne 2 du métro de Paris/Paris/20e arrondissement de Paris/11e arrondissement de Paris,Metro de Paris - Ligne 2 - Couronnes 01.jpg,48.869521,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.379861,,['Édicule Guimard|Entrée Guimard'],['Date|31|janvier|1903|dans les chemins de fer'],Couronnes,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Belleville (métro de Paris)|Belleville'],,,,,['Ménilmontant (métro de Paris)|Ménilmontant'],,,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:3034396'],https://fr.wikipedia.org/w/index.php?title=Couronnes_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Créteil - L'Échat (métro de Paris),,,,Cyril Trétout<br /><small>(station de la ligne 15)</small>,Mathias Isouard,,2505.0,,"['Bus RATP/correspondances avec intitulé|172|281', 'Bus Optile/correspondances avec intitulé|STRAV|B|O1|O2', 'Bus Optile/correspondances avec intitulé|CIF|100']",,,,,RATP,,Paris et la petite couronne/Île-de-France,Creteil-LEchat01.jpg,48.79596296515138,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],['Métro de Paris/correspondance|15'],,,,2.449355721473694,,"['MF 77', ""Pointe du Lac (métro de Paris)|''Pointe du Lac''""]","['24 septembre dans les chemins de fer|24 septembre', '1973 dans les chemins de fer|1973']",Créteil - L'Échat<br /><small>''Hôpital Henri Mondor''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],1.0,,['Maisons-Alfort - Les Juilliottes (métro de Paris)|Maisons-Alfort - Les Juilliottes'],['Le Vert de Maisons (métro de Paris)|Le Vert de Maisons'],,,,['Créteil - Université (métro de Paris)|Créteil - Université'],['Saint-Maur - Créteil (métro de Paris)|Saint-Maur - Créteil'],,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,,,['formatnum:2361971'],https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_L%27%C3%89chat_(m%C3%A9tro_de_Paris)&action=raw,['Créteil'],2.0,2-3
Créteil - Préfecture (métro de Paris),,,,,,,2507.0,,"['Bus RATP/correspondances avec intitulé|117|181|281|308', 'Bus Optile/correspondances avec intitulé|STRAV|B|K|O1|O2', 'Bus Optile/correspondances avec intitulé|SETRA|12|23']",,,,,RATP,,Paris et la petite couronne,Quais de la station Créteil - Préfecture (Métro de Paris).JPG,48.77977215279495,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],,,,,2.459317445755005,,Quais de la station.,"['10 septembre dans les chemins de fer|10 septembre', '1974 dans les chemins de fer|1974']",Créteil - Préfecture <br /><small>''Hôtel de Ville''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Créteil - Université (métro de Paris)|Créteil - Université'],,,,,['Pointe du Lac (métro de Paris)|Pointe du Lac'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,,,['formatnum:4986457'],https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_Pr%C3%A9fecture_(m%C3%A9tro_de_Paris)&action=raw,['Créteil'],3.0,2-3
Créteil - Université (métro de Paris),,,,,,,2506.0,,['Bus RATP/correspondances avec intitulé|Tvm|181|281|317'],['Noctilien/correspondances avec intitulé|N32|N71'],,,,RATP,,Paris et la petite couronne,Créteil - Université metro 8.jpg,48.78975374703421,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],,,,,2.4507853388786316,,Un MF 77 arrive à Créteil - Université.,"['10 septembre dans les chemins de fer|10 septembre', '1974 dans les chemins de fer|1974']",Créteil - Université,,['France'],,['Régie autonome des transports parisiens|RATP'],1.0,,"[""Créteil - L'Échat (métro de Paris)|Créteil - L'Échat""]",,,,,['Créteil - Préfecture (métro de Paris)|Créteil - Préfecture'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",['Noctilien'],,,,,,['formatnum:3395813'],https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_Universit%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,['Créteil'],2.0,2-3
Crimée (métro de Paris),,,,,,,22-06,,['Bus RATP/correspondances avec intitulé|54|60'],['Noctilien/correspondances avec intitulé|N42'],,,,RATP,,Paris/19e arrondissement de Paris,Crimée line7 Métro Station 01.jpg,48.89142,['Métro de Paris/correspondance|7'],,['Métro de Paris/correspondance|7'],,,,,2.377377,,Vue d'ensemble de la station.,['Date|5|novembre|1910|dans les chemins de fer'],Crimée,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Corentin Cariou (métro de Paris)|Corentin Cariou'],,,,,['Riquet (métro de Paris)|Riquet'],,,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:6613387'],https://fr.wikipedia.org/w/index.php?title=Crim%C3%A9e_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Croix de Chavaux (métro de Paris),,,,,,,25-02,,['Bus RATP/correspondances nombreuses avec intitulé|102|115|122|127'],['Noctilien/correspondances avec intitulé|N16|N34'],,,,['Régie autonome des transports parisiens|RATP'],,Paris et la petite couronne,JPEG.P1280461.jpg,48.858055,['Métro de Paris/correspondance|9'],,,,,,,2.435764,,['MF 67'],['Date|14|octobre|1937|dans les chemins de fer'],Croix de Chavaux<br><small>''Place Jacques Duclos''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Robespierre (métro de Paris)|Robespierre'],,,,,['Mairie de Montreuil (métro de Paris)|Mairie de Montreuil'],,,,,,,Bus,Noctilien,,,,,,['formatnum:5167717'],https://fr.wikipedia.org/w/index.php?title=Croix_de_Chavaux_(m%C3%A9tro_de_Paris)&action=raw,['Montreuil (Seine-Saint-Denis)|Montreuil'],2.0,2.0
Danube (métro de Paris),,,,,,,23-10,,['Bus RATP/correspondances avec intitulé|75'],,,,,RATP,,Paris/19e arrondissement de Paris,Paris metro danube.jpg,48.88180771631629,['Métro de Paris/correspondances|7bis'],,['Métro de Paris/correspondance|7bis'],,,,,2.3942014575004578,,L'unique quai ouvert aux voyageurs.,['Date|18|janvier|1911|dans les chemins de fer'],Danube,,['France'],,['Régie autonome des transports parisiens|RATP'],1.0,['e'],['Pré-Saint-Gervais (métro de Paris)|Pré-Saint-Gervais'],,,,,['Botzaris (métro de Paris)|Botzaris'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:600883'],https://fr.wikipedia.org/w/index.php?title=Danube_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],1.0,1.0
Louis Blanc (métro de Paris),,,,,,,22-10,,['Bus RATP/correspondances avec intitulé|26|46|54'],['Noctilien/correspondances avec intitulé|N13|N41|N42|N45'],,,,RATP,,Paris/10e arrondissement de Paris,Station-Louis-Blanc.jpg,48.88113744521957,['Métro de Paris/correspondances|7|7bis'],,['Métro de Paris/correspondance|7'],['Métro de Paris/correspondance|7bis'],,,,2.3648393154144287,,"['MF 88', 'MF 77']",['Date|5|novembre|1910|dans les chemins de fer'],Louis Blanc,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Stalingrad (métro de Paris)|Stalingrad'],'''Terminus''',,,,['Château-Landon (métro de Paris)|Château-Landon'],['Jaurès (métro de Paris)|Jaurès'],,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2489483'],https://fr.wikipedia.org/w/index.php?title=Louis_Blanc_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Daumesnil (métro de Paris),,,,,,,13-11,,['Bus RATP/correspondances nombreuses avec intitulé|29|46|64|71'],,,,,['Régie autonome des transports parisiens|RATP'],,Paris/12e arrondissement de Paris,Station métro Daumesnil - 20130606 161439.jpg,48.839644299053646,['Métro de Paris/correspondances|6|8'],,['Métro de Paris/correspondance|6'],['Métro de Paris/correspondance|8'],,,,2.395792007446289,,"Accès principal à la station, place Félix Éboué.","['Date|1er|mars|1909|dans les chemins de fer', 'Métro de Paris/correspondances|6', 'Date|5|mai|1931|dans les chemins de fer', 'Métro de Paris/correspondances|8']",Daumesnil<br /><small>''Félix Éboué''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Dugommier (métro de Paris)|Dugommier'],['Montgallet (métro de Paris)|Montgallet'],,,,['Bel-Air (métro de Paris)|Bel-Air'],['Michel Bizot (métro de Paris)|Michel Bizot'],,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['Unité|5195589|voyageurs'],https://fr.wikipedia.org/w/index.php?title=Daumesnil_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
