Station,code,construction,fermeture,latitude,ligne,ligne 1,mise en service 1,ligne 2,mise en service 2,ligne 3,mise en service 3,ligne 4,mise en service 4,ligne 5,mise en service 5,longitude,url,nom inaugural,station précédente 1,station suivante 1,station précédente 2,station suivante 2,station précédente 3,station suivante 3,station précédente 4,station suivante 4,station précédente 5,station suivante 5
Avenue Émile-Zola,17-06,,,48.84697701,10,10,13 juillet 1913,,,,,,,,,2.294511795,https://fr.wikipedia.org/w/index.php?title=Avenue_%C3%89mile-Zola_(m%C3%A9tro_de_Paris)&action=raw,,Charles Michels (métro de Paris)|Charles Michels,La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle,,,,,,,,
Avron,05-12,,,48.85194019,2,2,2 avril 1903,,,,,,,,,2.397862673,https://fr.wikipedia.org/w/index.php?title=Avron_(m%C3%A9tro_de_Paris)&action=raw,,Alexandre Dumas (métro de Paris)|Alexandre Dumas,Nation (métro de Paris)|Nation,,,,,,,,
Balard,1609,,,48.83627546,8,8,27 juillet 1937,,,,,,,,,2.278218327,https://fr.wikipedia.org/w/index.php?title=Balard_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Lourmel (métro de Paris)|Lourmel,,,,,,,,
Barbès - Rochechouart,2107,,,48.88364,"2, 4",2,26 mars 1903,4,21 avril 1908,,,,,,,2.350516,https://fr.wikipedia.org/w/index.php?title=Barb%C3%A8s_-_Rochechouart_(m%C3%A9tro_de_Paris)&action=raw,,Anvers (métro de Paris)|Anvers,La Chapelle (métro de Paris)|La Chapelle,Château Rouge (métro de Paris)|Château Rouge,Gare du Nord (métro de Paris)|Gare du Nord,,,,,,
Basilique de Saint-Denis,1915,,,48.93809957,13,13,20 juin 1976,,,,,,,,,2.360845506,https://fr.wikipedia.org/w/index.php?title=Basilique_de_Saint-Denis_(m%C3%A9tro_de_Paris)&action=raw,Saint-Denis - Basilique,Saint-Denis - Université (métro de Paris)|Saint-Denis - Université,Saint-Denis - Porte de Paris (métro de Paris)|Saint-Denis - Porte de Paris,,,,,,,,
Bastille,1212,,,48.853082,"1, 5, 8",1,19 juillet 1900,5,17 décembre 1906,8,5 mai 1931,,,,,2.369077,https://fr.wikipedia.org/w/index.php?title=Bastille_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Paul (métro de Paris)|Saint-Paul,Gare de Lyon (métro de Paris)|Gare de Lyon,Bréguet - Sabin (métro de Paris)|Bréguet - Sabin,Quai de la Rapée (métro de Paris)|Quai de la Rapée,Chemin Vert (métro de Paris)|Chemin Vert,Ledru-Rollin (métro de Paris)|Ledru-Rollin,,,,
Bel-Air,1312,,,48.8413443,6,6,1 mars 1909,,,,,,,,,2.400912344,https://fr.wikipedia.org/w/index.php?title=Bel-Air_(m%C3%A9tro_de_Paris)&action=raw,,Daumesnil (métro de Paris)|Daumesnil,Picpus (métro de Paris)|Picpus,,,,,,,,
Belleville,24-12,,,48.87208261,"2, 11",2,31 janvier 1903,11,28 avril 1935,,,,,,,2.376946807,https://fr.wikipedia.org/w/index.php?title=Belleville_(m%C3%A9tro_de_Paris)&action=raw,,Colonel Fabien (métro de Paris)|Colonel Fabien,Couronnes (métro de Paris)|Couronnes,Goncourt (métro de Paris)|Goncourt,Pyrénées (métro de Paris)|Pyrénées,,,,,,
Bercy,13-07 et BCY,,,48.84042809,"6, 14",6,1 mars 1909,14,15 octobre 1998,,,,,,,2.379582969,https://fr.wikipedia.org/w/index.php?title=Bercy_(m%C3%A9tro_de_Paris)&action=raw,,Quai de la Gare (métro de Paris)|Quai de la Gare,Dugommier (métro de Paris)|Dugommier,Gare de Lyon (métro de Paris)|Gare de Lyon,Cour Saint-Émilion (métro de Paris)|Cour Saint-Émilion,,,,,,
Bibliothèque François-Mitterrand,15-03 et BIB,,,48.82960597,14,14,15 octobre 1998,,,,,,,,,2.376092612,https://fr.wikipedia.org/w/index.php?title=Biblioth%C3%A8que_Fran%C3%A7ois-Mitterrand_(m%C3%A9tro_de_Paris)&action=raw,,Cour Saint-Émilion (métro de Paris)|Cour Saint-Émilion,Olympiades (métro de Paris)|Olympiades,,,,,,,,
Billancourt,28-09,,,48.83208981,9,9,3 février 1934,,,,,,,,,2.238177359,https://fr.wikipedia.org/w/index.php?title=Billancourt_(m%C3%A9tro_de_Paris)&action=raw,,Pont de Sèvres (métro de Paris)|Pont de Sèvres,Marcel Sembat (métro de Paris)|Marcel Sembat,,,,,,,,
Bir-Hakeim,1004,,,48.853917,6,6,24 avril 1906,,,,,,,,,2.289332,https://fr.wikipedia.org/w/index.php?title=Bir-Hakeim_(m%C3%A9tro_de_Paris)&action=raw,Grenelle,Passy (métro de Paris)|Passy,Dupleix (métro de Paris)|Dupleix,,,,,,,,
Blanche,3107,,,48.883459,2,2,21 octobre 1902,,,,,,,,,2.333703,https://fr.wikipedia.org/w/index.php?title=Blanche_(m%C3%A9tro_de_Paris)&action=raw,,Place de Clichy (métro de Paris)|Place de Clichy,Pigalle (métro de Paris)|Pigalle,,,,,,,,
Bobigny - Pablo Picasso,312,,,48.906538,5,5,25 avril 1985,,,,,,,,,2.449994,https://fr.wikipedia.org/w/index.php?title=Bobigny_-_Pablo_Picasso_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Bobigny - Pantin - Raymond Queneau (métro de Paris)|Bobigny - Pantin - Raymond Queneau,,,,,,,,
Bobigny - Pantin - Raymond Queneau,03-11,,,48.89540875,5,5,25 avril 1985,,,,,,,,,2.424928844,https://fr.wikipedia.org/w/index.php?title=Bobigny_-_Pantin_-_Raymond_Queneau_(m%C3%A9tro_de_Paris)&action=raw,,Bobigny - Pablo Picasso (métro de Paris)|Bobigny - Pablo Picasso,Église de Pantin (métro de Paris)|Église de Pantin,,,,,,,,
Boissière,17-14,,,48.86738609,6,6,2 octobre 1900,,,,,,,,,2.290391922,https://fr.wikipedia.org/w/index.php?title=Boissi%C3%A8re_(m%C3%A9tro_de_Paris)&action=raw,,Kléber (métro de Paris)|Kléber,Trocadéro (métro de Paris)|Trocadéro,,,,,,,,
Bolivar,2214,,,48.88050244,7bis,7bis,18 janvier 1911,,,,,,,,,2.374921739,https://fr.wikipedia.org/w/index.php?title=Bolivar_(m%C3%A9tro_de_Paris)&action=raw,,Jaurès (métro de Paris)|Jaurès,Buttes Chaumont (métro de Paris)|Buttes Chaumont,,,,,,,,
Bonne-Nouvelle,1108,,,48.87063948,"8, 9",8,5 mai 1931,9,10 décembre 1933,,,,,,,2.348874807,https://fr.wikipedia.org/w/index.php?title=Bonne-Nouvelle_(m%C3%A9tro_de_Paris)&action=raw,,Grands Boulevards (métro de Paris)|Grands Boulevards,Strasbourg - Saint-Denis (métro de Paris)|Strasbourg - Saint-Denis,Grands Boulevards (métro de Paris)|Grands Boulevards,Strasbourg - Saint-Denis (métro de Paris)|Strasbourg - Saint-Denis,,,,,,
Botzaris,23-09,,,48.87955169,7bis,7bis,18 janvier 1911,,,,,,,,,2.388040423,https://fr.wikipedia.org/w/index.php?title=Botzaris_(m%C3%A9tro_de_Paris)&action=raw,,Buttes Chaumont (métro de Paris)|Buttes Chaumont,"Danube (métro de Paris)|Danube', 'Place des Fêtes (métro de Paris)|Place des Fêtes",,,,,,,,
Boucicaut,1611,,,48.841101,8,8,27 juillet 1937,,,,,,,,,2.287817,https://fr.wikipedia.org/w/index.php?title=Boucicaut_(m%C3%A9tro_de_Paris)&action=raw,,Lourmel (métro de Paris)|Lourmel,Félix Faure (métro de Paris)|Félix Faure,,,,,,,,
Boulogne - Jean Jaurès,29-04,,,48.84227813,10,10,3 octobre 1980,,,,,,,,,2.238877416,https://fr.wikipedia.org/w/index.php?title=Boulogne_-_Jean_Jaur%C3%A8s_(m%C3%A9tro_de_Paris)&action=raw,,Boulogne - Pont de Saint-Cloud (métro de Paris)|Boulogne - Pont de Saint-Cloud,"Porte d'Auteuil (métro de Paris)|Porte d'Auteuil, 'Michel-Ange - Molitor (métro de Paris)|Michel-Ange - Molitor",,,,,,,,
Boulogne - Pont de Saint-Cloud,29-05,,,48.840684,10,10,2 octobre 1981,,,,,,,,,2.228331,https://fr.wikipedia.org/w/index.php?title=Boulogne_-_Pont_de_Saint-Cloud_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Boulogne - Jean Jaurès (métro de Paris)|Boulogne - Jean Jaurès,,,,,,,,
Bourse,1104,,,48.86873757,3,3,19 octobre 1904,,,,,,,,,2.341369987,https://fr.wikipedia.org/w/index.php?title=Bourse_(m%C3%A9tro_de_Paris)&action=raw,,Quatre-Septembre (métro de Paris)|Quatre-Septembre,Sentier (métro de Paris)|Sentier,,,,,,,,
Brochant,3008,,,48.8908555,13,13,20 janvier 1912,,,,,,,,,2.31970042,https://fr.wikipedia.org/w/index.php?title=Brochant_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Clichy (métro de Paris)|Porte de Clichy,La Fourche (métro de Paris)|La Fourche,,,,,,,,
Buttes Chaumont,23-13,,,48.87850037,7bis,7bis,13 février 1912,,,,,,,,,2.381772101,https://fr.wikipedia.org/w/index.php?title=Buttes_Chaumont_(m%C3%A9tro_de_Paris)&action=raw,,Bolivar (métro de Paris)|Bolivar,Botzaris (métro de Paris)|Botzaris,,,,,,,,
Buzenval,05-05,,,48.851976,9,9,10 décembre 1933,,,,,,,,,2.402045,https://fr.wikipedia.org/w/index.php?title=Buzenval_(m%C3%A9tro_de_Paris)&action=raw,,Nation (métro de Paris)|Nation,Maraîchers (métro de Paris)|Maraîchers,,,,,,,,
Cadet,2103,,,48.87613482,7,7,5 novembre 1910,,,,,,,,,2.344875634,https://fr.wikipedia.org/w/index.php?title=Cadet_(m%C3%A9tro_de_Paris)&action=raw,,Poissonnière (métro de Paris)|Poissonnière,Le Peletier (métro de Paris)|Le Peletier,,,,,,,,
Cambronne,202,,,48.84753654,6,6,24 avril 1906,,,,,,,,,2.302936614,https://fr.wikipedia.org/w/index.php?title=Cambronne_(m%C3%A9tro_de_Paris)&action=raw,,La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle,Sèvres - Lecourbe (métro de Paris)|Sèvres - Lecourbe,,,,,,,,
Campo-Formio,14-12,,,48.83502241,5,5,6 juin 1906,,,,,,,,,2.358128428,https://fr.wikipedia.org/w/index.php?title=Campo-Formio_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Marcel (métro de Paris)|Saint-Marcel,Place d'Italie (métro de Paris)|Place d'Italie,,,,,,,,
Cardinal Lemoine,1206,,,48.8471394,10,10,26 avril 1931,,,,,,,,,2.351202965,https://fr.wikipedia.org/w/index.php?title=Cardinal_Lemoine_(m%C3%A9tro_de_Paris)&action=raw,,Maubert - Mutualité (métro de Paris)|Maubert - Mutualité,Jussieu (métro de Paris)|Jussieu,,,,,,,,
Carrefour Pleyel,19-13,,,48.91994192,13,13,30 juin 1952,,,,,,,,,2.343926132,https://fr.wikipedia.org/w/index.php?title=Carrefour_Pleyel_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Denis - Porte de Paris (métro de Paris)|Saint-Denis - Porte de Paris,Mairie de Saint-Ouen (métro de Paris)|Mairie de Saint-Ouen,,,,,,,,
Censier - Daubenton,1204,,,48.840597,"7, 10",7,26 avril 1931,10,15 février 1930,,,,,,,2.351774,https://fr.wikipedia.org/w/index.php?title=Censier_-_Daubenton_(m%C3%A9tro_de_Paris)&action=raw,,Place Monge (métro de Paris)|Place Monge,Les Gobelins (métro de Paris)|Les Gobelins,,,,,,,,
Champs-Élysées - Clemenceau,1001,,,48.86741142,"1, 13",1,19 juillet 1900,13,18 février 1975,,,,,,,2.31395945,https://fr.wikipedia.org/w/index.php?title=Champs-%C3%89lys%C3%A9es_-_Clemenceau_(m%C3%A9tro_de_Paris)&action=raw,,Franklin D. Roosevelt (métro de Paris)|Franklin D. Roosevelt,Concorde (métro de Paris)|Concorde,Miromesnil (métro de Paris)|Miromesnil,Invalides (métro de Paris)|Invalides,,,,,,
Chardon-Lagache,711,,,48.84513775,10,10,30 septembre 1913,,,,,,,,,2.26621449,https://fr.wikipedia.org/w/index.php?title=Chardon-Lagache_(m%C3%A9tro_de_Paris)&action=raw,,Michel-Ange - Molitor (métro de Paris)|Michel-Ange - Molitor,Mirabeau (métro de Paris)|Mirabeau,,,,,,,,
Gare d'Austerlitz,907,,,48.84262588,"5, 10",5,2 juin 1906,10,2 juillet 1939,,,,,,,2.364970744,https://fr.wikipedia.org/w/index.php?title=Gare_d%27Austerlitz_(m%C3%A9tro_de_Paris)&action=raw,,Quai de la Rapée (métro de Paris)|Quai de la Rapée,Saint-Marcel (métro de Paris)|Saint-Marcel,Jussieu (métro de Paris)|Jussieu,''Terminus''',,,,,,
Charenton - Écoles,25-13,,,48.82148972,8,8,5 octobre 1942,,,,,,,,,2.41386205,https://fr.wikipedia.org/w/index.php?title=Charenton_-_%C3%89coles_(m%C3%A9tro_de_Paris)&action=raw,,Liberté (métro de Paris)|Liberté,École vétérinaire de Maisons-Alfort (métro de Paris)|École vétérinaire de Maisons-Alfort,,,,,,,,
Charles de Gaulle - Étoile,1812,,,48.8744076,"1, 2, 6",1,1 septembre 1900,2,13 décembre 1900,6,6 Octobre 1942,5,14 octobre 1907,,,2.295762685,https://fr.wikipedia.org/w/index.php?title=Charles_de_Gaulle_-_%C3%89toile_(m%C3%A9tro_de_Paris)&action=raw,Étoile,Argentine (métro de Paris)|Argentine,George V (métro de Paris)|George V,Victor Hugo (métro de Paris)|Victor Hugo,Ternes (métro de Paris)|Ternes,''Terminus''',Kléber (métro de Paris)|Kléber,,,,
Charles Michels,1613,,,48.846591,10,10,13 juillet 1913,,,,,,,,,2.286942,https://fr.wikipedia.org/w/index.php?title=Charles_Michels_(m%C3%A9tro_de_Paris)&action=raw,Beaugrenelle,Javel - André Citroën (métro de Paris)|Javel - André Citroën,Avenue Émile-Zola (métro de Paris)|Avenue Émile-Zola,,,,,,,,
Charonne,24-02,,,48.85510281,9,9,10 décembre 1933,,,,,,,,,2.384639382,https://fr.wikipedia.org/w/index.php?title=Charonne_(m%C3%A9tro_de_Paris)&action=raw,,Voltaire (métro de Paris)|Voltaire,Rue des Boulets (métro de Paris)|Rue des Boulets,,,,,,,,
Château d'Eau,1111,,,48.8729012,4,4,21 avril 1908,,,,,,,,,2.356148958,https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2teau_d%27Eau_(m%C3%A9tro_de_Paris)&action=raw,,Gare de l'Est (métro de Paris)|Gare de l'Est,Strasbourg - Saint-Denis (métro de Paris)|Strasbourg - Saint-Denis,,,,,,,,
Château-Landon,2111,,,48.87845627,7,7,5 novembre 1910,,,,,,,,,2.362071276,https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2teau-Landon_(m%C3%A9tro_de_Paris)&action=raw,,Louis Blanc (métro de Paris)|Louis Blanc,Gare de l'Est (métro de Paris)|Gare de l'Est,,,,,,,,
Château Rouge,21-04,,,48.88673,4,4,21 avril 1908,,,,,,,,,2.349552,https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2teau_Rouge_(m%C3%A9tro_de_Paris)&action=raw,,Marcadet - Poissonniers (métro de Paris)|Marcadet - Poissonniers,Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart,,,,,,,,
Châtelet,108,,,48.85851952,"1, 4, 7, 11, 14",1,6 aout 1900,4,21 avril 1908,7,16 avril 1926,11,28 avril 1935,14,15 octobre 1998,2.347119401,https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2telet_(m%C3%A9tro_de_Paris)&action=raw,,Louvre - Rivoli (métro de Paris)|Louvre - Rivoli,Hôtel de Ville (métro de Paris)|Hôtel de Ville,Les Halles (métro de Paris)|Les Halles,Cité (métro de Paris)|Cité,Pont-Neuf (métro de Paris)|Pont-Neuf,Pont Marie (métro de Paris)|Pont Marie,''Terminus''',Hôtel de Ville (métro de Paris)|Hôtel de Ville,Pyramides (métro de Paris)|Pyramides,Gare de Lyon (métro de Paris)|Gare de Lyon
Châtillon - Montrouge,27-09,,,48.81053942,13,13,9 novembre 1976,15,,,,,,,,2.301826179,https://fr.wikipedia.org/w/index.php?title=Ch%C3%A2tillon_-_Montrouge_(m%C3%A9tro_de_Paris)&action=raw,,Malakoff - Rue Étienne-Dolet (métro de Paris)|Malakoff - Rue Étienne-Dolet,''Terminus''',Fort d'Issy - Vanves - Clamart (métro de Paris)|Fort d'Issy - Vanves - Clamart,Bagneux - Lucie Aubrac (métro de Paris)|Bagneux - Lucie Aubrac,,,,,,
Chaussée d'Antin - La Fayette,2101,,,48.87307232,"7, 9",7,5 novembre 1910,9,3 juin 1923,,,,,,,2.333932221,https://fr.wikipedia.org/w/index.php?title=Chauss%C3%A9e_d%27Antin_-_La_Fayette_(m%C3%A9tro_de_Paris)&action=raw,,Le Peletier (métro de Paris)|Le Peletier,Opéra (métro de Paris)|Opéra,Havre - Caumartin (métro de Paris)|Havre - Caumartin,Richelieu - Drouot (métro de Paris)|Richelieu - Drouot,,,,,,
Chemin Vert,1213,,,48.85677758,8,8,5 mai 1931,,,,,,,,,2.368347645,https://fr.wikipedia.org/w/index.php?title=Chemin_Vert_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Sébastien - Froissart (métro de Paris)|Saint-Sébastien - Froissart,Bastille (métro de Paris)|Bastille,,,,,,,,
Chevaleret,902,,,48.83493767,6,6,1er mars 1909,,,,,,,,,2.368082106,https://fr.wikipedia.org/w/index.php?title=Chevaleret_(m%C3%A9tro_de_Paris)&action=raw,,Nationale (métro de Paris)|Nationale,Quai de la Gare (métro de Paris)|Quai de la Gare,,,,,,,,
Cité,114,,,48.85510059,4,4,10 décembre 1910,,,,,,,,,2.346720374,https://fr.wikipedia.org/w/index.php?title=Cit%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,,Châtelet (métro de Paris)|Châtelet,Saint-Michel (métro de Paris)|Saint-Michel,,,,,,,,
Cluny - La Sorbonne,105,,,48.85105028,10,10,15 février 1930,,,,,,,,,2.344273345,https://fr.wikipedia.org/w/index.php?title=Cluny_-_La_Sorbonne_(m%C3%A9tro_de_Paris)&action=raw,,Odéon (métro de Paris)|Odéon,Maubert - Mutualité (métro de Paris)|Maubert - Mutualité,,,,,,,,
Colonel Fabien,2215,,,48.877136,2,2,31 janvier 1903,,,,,,,,,2.37116,https://fr.wikipedia.org/w/index.php?title=Colonel_Fabien_(m%C3%A9tro_de_Paris)&action=raw,Combat,Jaurès (métro de Paris)|Jaurès,Belleville (métro de Paris)|Belleville,,,,,,,,
Commerce,17-05,,,48.845093,8,8,27 juillet 1937,,,,,,,,,2.294215,https://fr.wikipedia.org/w/index.php?title=Commerce_(m%C3%A9tro_de_Paris)&action=raw,,Félix Faure (métro de Paris)|Félix Faure,La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle,,,,,,,,
Concorde,1002,,,48.866176,"1, 8, 12",1,13 août 1900,8,5 novembre 1910,12,5 novembre 1910,,,,,2.322397,https://fr.wikipedia.org/w/index.php?title=Concorde_(m%C3%A9tro_de_Paris)&action=raw,,Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau,Tuileries (métro de Paris)|Tuileries,Invalides (métro de Paris)|Invalides,Madeleine (métro de Paris)|Madeleine,Madeleine (métro de Paris)|Madeleine,Assemblée nationale (métro de Paris)|Assemblée nationale,,,,
Convention,1605,,,48.837419,12,12,5 novembre 1910,,,,,,,,,2.296795,https://fr.wikipedia.org/w/index.php?title=Convention_(m%C3%A9tro_de_Paris)&action=raw,,Vaugirard (métro de Paris)|Vaugirard,Porte de Versailles (métro de Paris)|Porte de Versailles,,,,,,,,
Corentin Cariou,22-04,,,48.89473,7,7,5 novembre 1910,,,,,,,,,2.382307,https://fr.wikipedia.org/w/index.php?title=Corentin_Cariou_(m%C3%A9tro_de_Paris)&action=raw,Pont de Flandre,Porte de la Villette (métro de Paris)|Porte de la Villette,Crimée (métro de Paris)|Crimée,,,,,,,,
Corentin Celton,2802,,,48.826833,12,12,24 mars 1934,,,,,,,,,2.278985,https://fr.wikipedia.org/w/index.php?title=Corentin_Celton_(m%C3%A9tro_de_Paris)&action=raw,Petits Ménages,Porte de Versailles (métro de Paris)|Porte de Versailles,Mairie d'Issy (métro de Paris)|Mairie d'Issy,,,,,,,,
Corvisart,1415,,,48.82980683,6,6,24 avril 1906,,,,,,,,,2.350508273,https://fr.wikipedia.org/w/index.php?title=Corvisart_(m%C3%A9tro_de_Paris)&action=raw,,Glacière (métro de Paris)|Glacière,Place d'Italie (métro de Paris)|Place d'Italie,,,,,,,,
Cour Saint-Émilion,15-01 et EMI,,,48.83333856,14,14,15 octobre 1998,,,,,,,,,2.386632402,https://fr.wikipedia.org/w/index.php?title=Cour_Saint-%C3%89milion_(m%C3%A9tro_de_Paris)&action=raw,,Bercy (métro de Paris)|Bercy,Bibliothèque François-Mitterrand (métro de Paris)|Bibliothèque François-Mitterrand,,,,,,,,
Courcelles,1815,,,48.879401,2,2,7 octobre 1902,,,,,,,,,2.304339,https://fr.wikipedia.org/w/index.php?title=Courcelles_(m%C3%A9tro_de_Paris)&action=raw,,Ternes (métro de Paris)|Ternes,Monceau (métro de Paris)|Monceau,,,,,,,,
Couronnes,24-13,,,48.869521,2,2,31 janvier 1903,,,,,,,,,2.379861,https://fr.wikipedia.org/w/index.php?title=Couronnes_(m%C3%A9tro_de_Paris)&action=raw,,Belleville (métro de Paris)|Belleville,Ménilmontant (métro de Paris)|Ménilmontant,,,,,,,,
Créteil - L'Échat,2505,,,48.79596297,8,8,24 septembre 1973,15,,,,,,,,2.449355721,https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_L%27%C3%89chat_(m%C3%A9tro_de_Paris)&action=raw,,Maisons-Alfort - Les Juilliottes (métro de Paris)|Maisons-Alfort - Les Juilliottes,Créteil - Université (métro de Paris)|Créteil - Université,Le Vert de Maisons (métro de Paris)|Le Vert de Maisons,Saint-Maur - Créteil (métro de Paris)|Saint-Maur - Créteil,,,,,,
Créteil - Préfecture,2507,,,48.77977215,8,8,10 septembre 1974,,,,,,,,,2.459317446,https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_Pr%C3%A9fecture_(m%C3%A9tro_de_Paris)&action=raw,,Créteil - Université (métro de Paris)|Créteil - Université,Pointe du Lac (métro de Paris)|Pointe du Lac,,,,,,,,
Créteil - Université,2506,,,48.78975375,8,8,10 septembre 1974,,,,,,,,,2.450785339,https://fr.wikipedia.org/w/index.php?title=Cr%C3%A9teil_-_Universit%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,,Créteil - L'Échat (métro de Paris)|Créteil - L'Échat,Créteil - Préfecture (métro de Paris)|Créteil - Préfecture,,,,,,,,
Crimée,22-06,,,48.89142,7,7,5 novembre 1910,,,,,,,,,2.377377,https://fr.wikipedia.org/w/index.php?title=Crim%C3%A9e_(m%C3%A9tro_de_Paris)&action=raw,,Corentin Cariou (métro de Paris)|Corentin Cariou,Riquet (métro de Paris)|Riquet,,,,,,,,
Croix de Chavaux,25-02,,,48.858055,9,9,14 octobre 1937,,,,,,,,,2.435764,https://fr.wikipedia.org/w/index.php?title=Croix_de_Chavaux_(m%C3%A9tro_de_Paris)&action=raw,,Robespierre (métro de Paris)|Robespierre,Mairie de Montreuil (métro de Paris)|Mairie de Montreuil,,,,,,,,
Danube,23-10,,,48.88180772,7bis,7bis,18 janvier 1911,,,,,,,,,2.394201458,https://fr.wikipedia.org/w/index.php?title=Danube_(m%C3%A9tro_de_Paris)&action=raw,,Pré-Saint-Gervais (métro de Paris)|Pré-Saint-Gervais,Botzaris (métro de Paris)|Botzaris,,,,,,,,
Louis Blanc,22-10,,,48.88113745,"7, 7bis",7,5 novembre 1910,7bis,,,,,,,,2.364839315,https://fr.wikipedia.org/w/index.php?title=Louis_Blanc_(m%C3%A9tro_de_Paris)&action=raw,,Stalingrad (métro de Paris)|Stalingrad,Château-Landon (métro de Paris)|Château-Landon,''Terminus''',Jaurès (métro de Paris)|Jaurès,,,,,,
