Nom,Fermetrue,Ouverture,latitude,longitude,Nom de référence
Exelmans,,11/8/1922 0:00:00,48.84240522,2.259549201,Exelmans
Faidherbe - Chaligny,,5/5/1931 0:00:00,48.8501576,2.38339752,Faidherbe - Chaligny
Falguière,,11/5/1910 0:00:00,48.84449,2.317954,Falguière
Félix Faure,,7/27/1937 0:00:00,48.842351,2.291004,Félix Faure
Filles du Calvaire,,5/5/1931 0:00:00,48.86407249,2.366121411,Filles du Calvaire
Fort d'Aubervilliers,,10/4/1979 0:00:00,48.91423986,2.40378499,Fort d'Aubervilliers
Marbeuf - Rond-point des Champs-Élysées,30 octobre 1946,7/19/1900 0:00:00,48.86930523,2.308308765,Franklin D. Roosevelt
Franklin D. Roosevelt,,30 octobre 1946,48.86930523,2.308308765,Franklin D. Roosevelt
Front Populaire,,12/18/2012 0:00:00,48.90689109,2.365793764,Front Populaire
Gabriel Péri - Asnières - Gennevilliers,14 juin 2008,5/3/1980 0:00:00,48.91657541,2.294388413,Gabriel Péri
Gabriel Péri,,14 juin 2008,48.91657541,2.294388413,Gabriel Péri
Gaîté,,1/21/1937 0:00:00,48.83865393,2.322637439,Gaîté
Gallieni,,4/2/1971 0:00:00,48.864936,2.416637,Gallieni
Gambetta,,1/25/1905 0:00:00,48.864947,2.398451,Gambetta
Gare d'Orléans,15 octobre 1930,6/2/1906 0:00:00,48.84262588,2.364970744,Gare d'Austerlitz
Gare d'Orléans - Austerlitz,25 avril 1985,15 octobre 1930,48.84262588,2.364970744,Gare d'Austerlitz
Gare d'Austerlitz,,25 avril 1985,48.84262588,2.364970744,Gare d'Austerlitz
Gare de l'Est,21 juin 1953,11/15/1907 0:00:00,48.87614188,2.358278632,Gare de l'Est
Gare de l'Est,,21 juin 1953,48.87614188,2.358278632,Gare de l'Est - Verdun
Gare de Lyon,,7/19/1900 0:00:00,48.84470455,2.374065908,Gare de Lyon
Gare du Nord,,11/15/1907 0:00:00,48.88057476,2.354931235,Gare du Nord
Garibaldi,,6/30/1952 0:00:00,48.90639693,2.331907153,Garibaldi
Alma,27 mai 1920,8/13/1900 0:00:00,48.87198257,2.300462683,George V
George V,,27 mai 1920,48.87198257,2.300462683,George V
Glacière,,04/24/1906 0:00:00,48.8311505,2.343384326,Glacière
Goncourt,,4/28/1935 0:00:00,48.86983144,2.370686531,Goncourt
Rue Montmartre,1er septembre 1998,5/5/1931 0:00:00,48.87142633,2.344341874,Grands Boulevards
Grands Boulevards,,1er septembre 1998,48.87142633,2.344341874,Grands Boulevards
Marcadet,1/1/1912 0:00:00,2/26/1911 0:00:00,48.892221,2.327174,Guy Môquet
Marcadet - Balagny,27 janvier 1946,1/1/1912 0:00:00,48.892221,2.327174,Guy Môquet
Guy Môquet,,27 janvier 1946,48.892221,2.327174,Guy Môquet
Caumartin,1/1/1926 0:00:00,10/19/1904 0:00:00,48.873608,2.328325,Havre - Caumartin
Havre - Caumartin,,1/1/1926 0:00:00,48.873608,2.328325,Havre - Caumartin
Hoche,,10/12/1942 0:00:00,48.89149389,2.403143942,Hoche
Hôtel de Ville,,7/19/1900 0:00:00,48.85676953,2.35149454,Hôtel de Ville
Iéna,,5/27/1923 0:00:00,48.86446597,2.293379903,Iéna
Invalides,,12/24/1913 0:00:00,48.860907,2.314457,Invalides
Lancry,10 février 1946,12/17/1906 0:00:00,48.8712005,2.36060679,Jacques Bonsergent
Jacques Bonsergent,,10 février 1946,48.8712005,2.36060679,Jacques Bonsergent
Jasmin,,11/8/1922 0:00:00,48.85189783,2.267856002,Jasmin
Rue d'Allemagne,8/1/1914 0:00:00,2/23/1903 0:00:00,48.88179008,2.370198369,Jaurès
Jaurès,,8/1/1914 0:00:00,48.88179008,2.370198369,Jaurès
Javel - André Citroën,,9/30/1913 0:00:00,48.84616506,2.278716266,Javel - André Citroën
Jourdain,,4/28/1935 0:00:00,48.87519986,2.389507592,Jourdain
Jules Joffrin,,10/31/1912 0:00:00,48.89243737,2.344781756,Jules Joffrin
Jussieu,,4/26/1931 0:00:00,48.846052,2.355738,Jussieu
Kléber,,10/2/1900 0:00:00,48.871138,2.293118,Kléber
La Chapelle,,1/31/1903 0:00:00,48.88441111,2.360287607,La Chapelle
La Courneuve - 8 Mai 1945,,5/6/1987 0:00:00,48.920777,2.410668,La Courneuve - 8 Mai 1945
Grande Arche de la Défense,1/1/1997 0:00:00,4/1/1992 0:00:00,48.89193447,2.237882798,La Défense
La Défense,,1/1/1997 0:00:00,48.89193447,2.237882798,La Défense
La Fourche,,2/26/1911 0:00:00,48.8869,2.325875,La Fourche
La Motte-Picquet,1er novembre 1913,04/24/1906 0:00:00,48.84914273,2.298089862,La Motte-Picquet - Grenelle
La Motte-Picquet - Grenelle,,1er novembre 1913,48.84914273,2.298089862,La Motte-Picquet - Grenelle
La Muette,,11/8/1922 0:00:00,48.85771818,2.273719311,La Muette
La Tour-Maubourg,,7/13/1913 0:00:00,48.857667,2.310398519,La Tour-Maubourg
Lamarck - Caulaincourt,,10/31/1912 0:00:00,48.889849,2.338693,Lamarck - Caulaincourt
Laumière,,10/12/1942 0:00:00,48.885006,2.378524,Laumière
Le Kremlin-Bicêtre,,12/10/1982 0:00:00,48.810388,2.361849,Le Kremlin-Bicêtre
Le Peletier,,6/6/1911 0:00:00,48.87472003,2.339548767,Le Peletier
Ledru-Rollin,,5/5/1931 0:00:00,48.851346,2.376121,Ledru-Rollin
Les Agnettes,,6/14/2008 0:00:00,48.92303856,2.285891175,Les Agnettes
Les Courtilles,,6/14/2008 0:00:00,48.93060576,2.283788323,Les Courtilles
Les Gobelins,,2/15/1930 0:00:00,48.8364,2.35225,Les Gobelins
Les Halles,,4/27/1908 0:00:00,48.862396,2.345972,Les Halles
Les Sablons,,4/29/1937 0:00:00,48.8809018,2.272539085,Les Sablons
Liberté,,10/5/1942 0:00:00,48.825882,2.407022,Liberté
Berlin,1/8/1914 0:00:00,2/26/1911 0:00:00,48.879626,2.326983,Liège
Liège,,1/8/1914 0:00:00,48.879626,2.326983,Liège
Louis Blanc,,11/5/1910 0:00:00,48.88113745,2.364839315,Louis Blanc
Vallier,1er mai 1946,9/24/1937 0:00:00,48.888836,2.288002,Louise Michel
Louise Michel,,1er mai 1946,48.888836,2.288002,Louise Michel
Lourmel,,7/27/1937 0:00:00,48.8386045,2.2818169,Lourmel
Louvre,29 mars 1989,8/13/1900 0:00:00,48.86108,2.340283,Louvre - Rivoli
Louvre - Rivoli,,29 mars 1989,48.86108,2.340283,Louvre - Rivoli
Mabillon,,3/10/1925 0:00:00,48.85277499,2.335321605,Mabillon
Madeleine,,11/5/1910 0:00:00,48.87006435,2.3251637,Madeleine
Mairie d'Issy,,3/24/1934 0:00:00,48.824152,2.273434,Mairie d'Issy
Mairie d'Ivry,,5/1/1946 0:00:00,48.81112408,2.383386791,Mairie d'Ivry
Mairie de Clichy,,5/3/1980 0:00:00,48.90395865,2.305342555,Mairie de Clichy
Mairie de Montreuil,,10/14/1937 0:00:00,48.862283,2.441847,Mairie de Montreuil
Mairie de Montrouge,,3/23/2013 0:00:00,48.81806483,2.31953674,Mairie de Montrouge
