Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Invalides,,1913-12-24,48.860907,2.314457,Invalides,
Lancry,1946-02-10,1906-12-17,48.8712005,2.36060679,Jacques Bonsergent,
Jacques Bonsergent,,1946-02-10,48.8712005,2.36060679,Jacques Bonsergent,Renommé
Jasmin,,1922-11-08,48.85189783,2.267856002,Jasmin,
Rue d'Allemagne,1914-08-01,1903-02-23,48.88179008,2.370198369,Jaurès,
Jaurès,,1914-08-01,48.88179008,2.370198369,Jaurès,Renommé
Javel - André Citroën,,1913-09-30,48.84616506,2.278716266,Javel - André Citroën,
Jourdain,,1935-04-28,48.87519986,2.389507592,Jourdain,
Jules Joffrin,,1912-10-31,48.89243737,2.344781756,Jules Joffrin,
Jussieu,,1931-04-26,48.846052,2.355738,Jussieu,
Kléber,,1900-10-02,48.871138,2.293118,Kléber,
La Chapelle,,1903-01-31,48.88441111,2.360287607,La Chapelle,
La Courneuve - 8 Mai 1945,,1987-05-06,48.920777,2.410668,La Courneuve - 8 Mai 1945,
Grande Arche de la Défense,1997-01-01,1992-04-01,48.89193447,2.237882798,La Défense,
La Défense,,1997-01-01,48.89193447,2.237882798,La Défense,Renommé
La Fourche,,1911-02-26,48.8869,2.325875,La Fourche,
La Motte-Picquet,1913-11-01,1906-04-24,48.84914273,2.298089862,La Motte-Picquet - Grenelle,
La Motte-Picquet - Grenelle,,1913-11-01,48.84914273,2.298089862,La Motte-Picquet - Grenelle,Renommé
La Muette,,1922-11-08,48.85771818,2.273719311,La Muette,
La Tour-Maubourg,,1913-07-13,48.857667,2.310398519,La Tour-Maubourg,
Lamarck - Caulaincourt,,1912-10-31,48.889849,2.338693,Lamarck - Caulaincourt,
Laumière,,1942-10-12,48.885006,2.378524,Laumière,
Le Kremlin-Bicêtre,,1982-12-10,48.810388,2.361849,Le Kremlin-Bicêtre,
Le Peletier,,1911-06-06,48.87472003,2.339548767,Le Peletier,
Ledru-Rollin,,1931-05-05,48.851346,2.376121,Ledru-Rollin,
Les Agnettes,,2008-06-14,48.92303856,2.285891175,Les Agnettes,
Les Courtilles,,2008-06-14,48.93060576,2.283788323,Les Courtilles,
Les Gobelins,,1930-02-15,48.8364,2.35225,Les Gobelins,
Les Halles,1977-10-03,1908-04-27,48.862720, 2.345848,Les Halles,Déplacé - coordonnées d'apres cartometro.com
