De,Vers,Ouverture,Fermeture,Ligne
Aimé Césaire,Mairie d'Aubervilliers,2022-05-31,,Ligne 12
Mairie d'Aubervilliers,Aimé Césaire,2022-05-31,,Ligne 12
Saint-Lazare,Liège,1911-02-26,1931-03-27,Ligne B
Liège,Saint-Lazare,1911-02-26,1931-03-27,Ligne B
Liège,Place de Clichy,1911-02-26,1931-03-27,Ligne B
Place de Clichy,Liège,1911-02-26,1931-03-27,Ligne B
Place de Clichy,La Fourche,1911-02-26,1931-03-27,Ligne B
La Fourche,Place de Clichy,1911-02-26,1931-03-27,Ligne B
La Fourche,Guy Môquet,1911-02-26,1931-03-27,Ligne B
Guy Môquet,La Fourche,1911-02-26,1931-03-27,Ligne B
Guy Môquet,Porte de Saint-Ouen,1911-02-26,1931-03-27,Ligne B
Porte de Saint-Ouen,Guy Môquet,1911-02-26,1931-03-27,Ligne B
La Fourche,Brochant,1912-01-20,1931-03-27,Ligne B
Brochant,La Fourche,1912-01-20,1931-03-27,Ligne B
Brochant,Porte de Clichy,1912-01-20,1931-03-27,Ligne B
Porte de Clichy,Brochant,1912-01-20,1931-03-27,Ligne B
Saint-Lazare,Liège,1931-03-27,1939-09-03,Ligne 13
Liège,Saint-Lazare,1931-03-27,1939-09-03,Ligne 13
Liège,Place de Clichy,1931-03-27,1939-09-03,Ligne 13
Place de Clichy,Liège,1931-03-27,1939-09-03,Ligne 13
Place de Clichy,La Fourche,1931-03-27,,Ligne 13
La Fourche,Place de Clichy,1931-03-27,,Ligne 13
La Fourche,Guy Môquet,1931-03-27,,Ligne 13
Guy Môquet,La Fourche,1931-03-27,,Ligne 13
Guy Môquet,Porte de Saint-Ouen,1931-03-27,,Ligne 13
Porte de Saint-Ouen,Guy Môquet,1931-03-27,,Ligne 13
La Fourche,Brochant,1931-03-27,,Ligne 13
Brochant,La Fourche,1931-03-27,,Ligne 13
Brochant,Porte de Clichy,1931-03-27,,Ligne 13
Porte de Clichy,Brochant,1931-03-27,,Ligne 13
Saint-Lazare,Place de Clichy,1939-09-03,1968-09-16,Ligne 13
Place de Clichy,Saint-Lazare,1939-09-03,1968-09-16,Ligne 13
Porte de Saint-Ouen,Garibaldi,1952-06-30,,Ligne 13
Garibaldi,Porte de Saint-Ouen,1952-06-30,,Ligne 13
Garibaldi,Mairie de Saint-Ouen,1952-06-30,,Ligne 13
Mairie de Saint-Ouen,Garibaldi,1952-06-30,,Ligne 13
Mairie de Saint-Ouen,Carrefour Pleyel,1952-06-30,,Ligne 13
Carrefour Pleyel,Mairie de Saint-Ouen,1952-06-30,,Ligne 13
Saint-Lazare,Liège,1968-09-16,,Ligne 13
Liège,Saint-Lazare,1968-09-16,,Ligne 13
Liège,Place de Clichy,1968-09-16,,Ligne 13
Place de Clichy,Liège,1968-09-16,,Ligne 13
Miromesnil,Saint-Lazare,1973-04-27,,Ligne 13
Saint-Lazare,Miromesnil,1973-04-27,,Ligne 13
Miromesnil,Champs-Élysées - Clemenceau,1975-02-18,,Ligne 13
Champs-Élysées - Clemenceau,Miromesnil,1975-02-18,,Ligne 13
Carrefour Pleyel,Saint-Denis - Porte de Paris,1976-06-20,,Ligne 13
Saint-Denis - Porte de Paris,Carrefour Pleyel,1976-06-20,,Ligne 13
Saint-Denis - Porte de Paris,Basilique de Saint-Denis,1976-06-20,,Ligne 13
Basilique de Saint-Denis,Saint-Denis - Porte de Paris,1976-06-20,,Ligne 13
Champs-Élysées - Clemenceau,Invalides,1976-11-09,,Ligne 13
Invalides,Champs-Élysées - Clemenceau,1976-11-09,,Ligne 13
Plaisance,Pernety,1976-11-09,,Ligne 13
Pernety,Plaisance,1976-11-09,,Ligne 13
Pernety,Gaîté,1976-11-09,,Ligne 13
Gaîté,Pernety,1976-11-09,,Ligne 13
Gaîté,Avenue du Maine,1976-11-09,,Ligne 13
Avenue du Maine,Gaîté,1976-11-09,,Ligne 13
Avenue du Maine,Duroc,1976-11-09,,Ligne 13
Duroc,Avenue du Maine,1976-11-09,,Ligne 13
Invalides,Varenne,1976-11-09,,Ligne 13
Varenne,Invalides,1976-11-09,,Ligne 13
Varenne,Saint-François-Xavier,1976-11-09,,Ligne 13
Saint-François-Xavier,Varenne,1976-11-09,,Ligne 13
Saint-François-Xavier,Duroc,1976-11-09,,Ligne 13
Duroc,Saint-François-Xavier,1976-11-09,,Ligne 13
Plaisance,Porte de Vanves,1976-11-09,,Ligne 13
Porte de Vanves,Plaisance,1976-11-09,,Ligne 13
Porte de Vanves,Malakoff - Plateau de Vanves,1976-11-09,,Ligne 13
Malakoff - Plateau de Vanves,Porte de Vanves,1976-11-09,,Ligne 13
Malakoff - Plateau de Vanves,Malakoff - Rue Étienne-Dolet,1976-11-09,,Ligne 13
Malakoff - Rue Étienne-Dolet,Malakoff - Plateau de Vanves,1976-11-09,,Ligne 13
Malakoff - Rue Étienne-Dolet,Châtillon - Montrouge,1976-11-09,,Ligne 13
Châtillon - Montrouge,Malakoff - Rue Étienne-Dolet,1976-11-09,,Ligne 13
Porte de Clichy,Mairie de Clichy,1980-05-03,,Ligne 13
Mairie de Clichy,Porte de Clichy,1980-05-03,,Ligne 13
Mairie de Clichy,Gabriel Péri,1980-05-03,,Ligne 13
Gabriel Péri,Mairie de Clichy,1980-05-03,,Ligne 13
Saint-Denis - Université,Basilique de Saint-Denis,1998-05-25,,Ligne 13
Basilique de Saint-Denis,Saint-Denis - Université,1998-05-25,,Ligne 13
Gabriel Péri,Les Agnettes,2008-06-14,,Ligne 13
Les Agnettes,Gabriel Péri,2008-06-14,,Ligne 13
Les Agnettes,Les Courtilles,2008-06-14,,Ligne 13
Les Courtilles,Les Agnettes,2008-06-14,,Ligne 13
Madeleine,Pyramides,1998-10-15,,Ligne 14
Pyramides,Madeleine,1998-10-15,,Ligne 14
Pyramides,Châtelet,1998-10-15,,Ligne 14
Châtelet,Pyramides,1998-10-15,,Ligne 14
Châtelet,Gare de Lyon,1998-10-15,,Ligne 14
Gare de Lyon,Châtelet,1998-10-15,,Ligne 14
Gare de Lyon,Bercy,1998-10-15,,Ligne 14
Bercy,Gare de Lyon,1998-10-15,,Ligne 14
Bercy,Cour Saint-Émilion,1998-10-15,,Ligne 14
Cour Saint-Émilion,Bercy,1998-10-15,,Ligne 14
Cour Saint-Émilion,Bibliothèque François-Mitterrand,1998-10-15,,Ligne 14
Bibliothèque François-Mitterrand,Cour Saint-Émilion,1998-10-15,,Ligne 14
Madeleine,Saint-Lazare,2003-12-16,,Ligne 14
Saint-Lazare,Madeleine,2003-12-16,,Ligne 14
Bibliothèque François-Mitterrand,Olympiades,2007-06-26,,Ligne 14
Olympiades,Bibliothèque François-Mitterrand,2007-06-26,,Ligne 14
Saint-Lazare,Pont Cardinet,2020-12-14,,Ligne 14
Pont Cardinet,Saint-Lazare,2020-12-14,,Ligne 14
Pont Cardinet,Saint-Ouen,2020-12-14,2021-01-28,Ligne 14
Saint-Ouen,Pont Cardinet,2020-12-14,2021-01-28,Ligne 14
Saint-Ouen,Mairie de Saint-Ouen,2020-12-14,,Ligne 14
Mairie de Saint-Ouen,Saint-Ouen,2020-12-14,,Ligne 14
Pont Cardinet,Porte de Clichy,2021-01-28,,Ligne 14
Porte de Clichy,Pont Cardinet,2021-01-28,,Ligne 14
Porte de Clichy,Saint-Ouen,2021-01-28,,Ligne 14
Saint-Ouen,Porte de Clichy,2021-01-28,,Ligne 14
Mairie de Saint-Ouen,Saint-Denis - Pleyel,2024-06-24,,Ligne 14
Saint-Denis - Pleyel,Mairie de Saint-Ouen,2024-06-24,,Ligne 14
Olympiades,Maison Blanche,2024-06-24,,Ligne 14
Maison Blanche,Olympiades,2024-06-24,,Ligne 14
Maison Blanche,Hôpital Bicêtre,2024-06-24,,Ligne 14
Hôpital Bicêtre,Maison Blanche,2024-06-24,,Ligne 14
Hôpital Bicêtre,L'Haÿ-les-Roses,2024-06-24,2025-01-18,Ligne 14
L'Haÿ-les-Roses,Hôpital Bicêtre,2024-06-24,2025-01-18,Ligne 14
L'Haÿ-les-Roses,Chevilly-Larue,2024-06-24,,Ligne 14
Chevilly-Larue,L'Haÿ-les-Roses,2024-06-24,,Ligne 14
Chevilly-Larue,Thiais - Orly,2024-06-24,,Ligne 14
Thiais - Orly,Chevilly-Larue,2024-06-24,,Ligne 14
Thiais - Orly,Aéroport d'Orly,2024-06-24,,Ligne 14
Aéroport d'Orly,Thiais - Orly,2024-06-24,,Ligne 14
Hôpital Bicêtre,Villejuif - Gustave Roussy,2025-01-18,,Ligne 14
Villejuif - Gustave Roussy,Hôpital Bicêtre,2025-01-18,,Ligne 14
Villejuif - Gustave Roussy,L'Haÿ-les-Roses,2025-01-18,,Ligne 14
L'Haÿ-les-Roses,Villejuif - Gustave Roussy,2025-01-18,,Ligne 14
Gambetta,Pelleport,1971-03-27,,Ligne 3 bis
Pelleport,Gambetta,1971-03-27,,Ligne 3 bis
Pelleport,Saint-Fargeau,1971-03-27,,Ligne 3 bis
Saint-Fargeau,Pelleport,1971-03-27,,Ligne 3 bis
Saint-Fargeau,Porte des Lilas,1971-03-27,,Ligne 3 bis
Porte des Lilas,Saint-Fargeau,1971-03-27,,Ligne 3 bis
Louis Blanc,Jaurès,1967-12-03,,Ligne 7 bis
Jaurès,Louis Blanc,1967-12-03,,Ligne 7 bis
Jaurès,Bolivar,1967-12-03,,Ligne 7 bis
Bolivar,Jaurès,1967-12-03,,Ligne 7 bis
Danube,Botzaris,1967-12-03,,Ligne 7 bis
Pré-Saint-Gervais,Danube,1967-12-03,,Ligne 7 bis
Buttes Chaumont,Bolivar,1967-12-03,,Ligne 7 bis
Bolivar,Buttes Chaumont,1967-12-03,,Ligne 7 bis
Buttes Chaumont,Botzaris,1967-12-03,,Ligne 7 bis
Botzaris,Buttes Chaumont,1967-12-03,,Ligne 7 bis
Place des Fêtes,Pré-Saint-Gervais,1967-12-03,,Ligne 7 bis
Botzaris,Place des Fêtes,1967-12-03,,Ligne 7 bis
Porte de Vanves,Plaisance,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Plaisance,Porte de Vanves,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Plaisance,Pernety,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Pernety,Plaisance,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Pernety,Gaîté,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Gaîté,Pernety,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Gaîté,Avenue du Maine,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Avenue du Maine,Gaîté,1937-01-21,1976-11-09,Ligne 14 (ancienne)
Avenue du Maine,Duroc,1937-07-27,1976-11-09,Ligne 14 (ancienne)
Duroc,Avenue du Maine,1937-07-27,1976-11-09,Ligne 14 (ancienne)
Invalides,Varenne,1937-07-27,1939-09-03,Ligne 14 (ancienne)
Varenne,Invalides,1937-07-27,1939-09-03,Ligne 14 (ancienne)
Varenne,Saint-François-Xavier,1937-07-27,1939-09-03,Ligne 14 (ancienne)
Saint-François-Xavier,Varenne,1937-07-27,1939-09-03,Ligne 14 (ancienne)
Saint-François-Xavier,Duroc,1937-07-27,1976-11-09,Ligne 14 (ancienne)
Duroc,Saint-François-Xavier,1937-07-27,1976-11-09,Ligne 14 (ancienne)
Invalides,Saint-François-Xavier,1939-09-03,1962-12-24,Ligne 14 (ancienne)
Saint-François-Xavier,Invalides,1939-09-03,1962-12-24,Ligne 14 (ancienne)
Invalides,Varenne,1962-12-24,1976-11-09,Ligne 14 (ancienne)
Varenne,Invalides,1962-12-24,1976-11-09,Ligne 14 (ancienne)
Varenne,Saint-François-Xavier,1962-12-24,1976-11-09,Ligne 14 (ancienne)
Saint-François-Xavier,Varenne,1962-12-24,1976-11-09,Ligne 14 (ancienne)
Marbeuf,Rond-point des Champs-Élysées,1942-10-06,,Couloirs
Rond-point des Champs-Élysées,Marbeuf,1942-10-06,,Couloirs
Châtelet,Pont Notre-Dame,1934-04-15,,Couloirs
Pont Notre-Dame,Châtelet,1934-04-15,,Couloirs
Châtelet,Les Halles,1977-12-09,,Couloirs
Les Halles,Châtelet,1977-12-09,,Couloirs
Montparnasse,Avenue du Maine,1937-01-31,,Couloirs
Avenue du Maine,Montparnasse,1937-01-31,,Couloirs
Poissonniers,Marcadet,1931-08-25,,Couloirs
Marcadet,Poissonniers,1931-08-25,,Couloirs
Saint-Augustin,Saint-Lazare,2003-12-16,,Couloirs
Saint-Lazare,Saint-Augustin,2003-12-16,,Couloirs
Place des Fêtes,Porte des Lilas,1921-11-27,1939-09-03,Voie des Fêtes et voie navette
Porte des Lilas,Pré-Saint-Gervais,1921-11-27,1939-09-03,Voie des Fêtes et voie navette
