OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
373,910000001,,91,0,O,7,3750.0408164514,233385.490000235
374,910000001,,91,0,O,7,986.955308205824,13033.7600001284
375,910000001,,91,0,O,7,3442.02588739926,232570.665000087
376,910000001,,91,0,O,7,67.1383593151079,321.4150000038
377,910000001,,91,0,O,7,255.58735797137,3801.30500002064
378,910000001,,91,0,O,7,19.4536044097019,16.8104796522242
379,910000001,,91,0,O,7,614.020274625374,20360.5249999044
380,910000012,,91,0,O,7,4801.09367373889,18074.2796417192
381,910000001,Pièce d'eau de l'Amiral Merveilleux du Vignaux,91,0,O,7,727.637797125745,28570.3861157074
382,910000001,,91,0,O,7,261.093507777186,2060.64999994412
383,910000001,,91,0,O,7,121.960618276912,722.494999848418
384,910000012,,91,0,N,7,557.80237438815,1396.94204694831
385,910000001,,91,0,O,7,3225.44814734556,71134.3150008701
386,910000001,,91,0,O,7,74.7714456456592,343.104999962524
387,910000001,,91,0,O,7,62.4538062424087,192.234999968819
388,910000001,,91,0,O,7,127.66528714561,1004.86500000659
389,910000001,,91,0,O,7,364.517322437331,5957.81999999631
390,910000001,,91,0,O,7,670.091629284994,16255.0949999116
391,910000001,,91,0,O,7,442.38949520096,10878.209999953
392,910000001,,91,0,O,7,497.338329287489,11007.9849998343
393,910000001,Etang des Noues de Seine,91,0,O,7,2912.35754778972,259059.211791831
394,910000001,,91,0,O,7,99.1543161363195,388.724999994785
395,910000001,,91,0,O,7,84.7913221802454,541.660000059344
396,910000001,,91,0,O,7,261.841898587537,3070.40500014786
397,910000001,Etang de la Plaine Basse,91,0,O,7,3014.42585582006,200786.14846475
398,910000001,,91,0,O,7,593.18221328018,15896.5799998953
399,910000001,,91,0,O,7,44.4185401516778,146.969999966882
400,910000001,,91,0,N,7,39.6722890630166,35.0101319678562
401,910000001,,91,0,O,7,239.096625468644,3288.68999988887
402,910000001,Lac des Castors,91,0,O,7,329.077352679127,6647.59000036422
403,910000001,,91,0,O,7,518.767878244047,8678.745000223
404,910000001,,91,0,O,7,179.203423343178,2228.22499996349
405,910000001,,91,0,O,7,286.587807341991,2421.48500000123
406,910000001,,91,0,O,7,462.154289312877,5119.0650000051
407,910000001,,91,0,O,7,3754.23739152303,92129.7900002647
408,910000001,,91,0,O,7,2044.97569158999,54458.7650003476
409,910000001,,91,0,O,7,594.305917255557,14920.3050000456
410,910000001,,91,0,O,7,128.138219151225,996.040000022613
411,910000001,,91,0,O,7,213.618041871265,1995.02500004582
412,910000001,,91,0,O,7,139.670386053374,942.174999888055
413,910000001,,91,0,N,7,59.0954675403121,75.4607620456036
414,910000001,,91,0,O,7,998.678041098853,13166.6600001786
415,910000001,,91,0,O,7,882.833777452593,10029.7599999828
416,910000001,,91,0,O,7,213.482395053682,3017.54999996889
417,910000001,,91,0,N,7,45.0261600021657,108.760106946022
418,0,,92,0,O,,175.385039758811,1713.75879981687
419,0,,92,0,O,,190.448861452112,2018.37631585472
420,0,,92,0,O,,218.148858896642,2972.8407828403
421,750000021,,75,0,N,1,795.905936713596,1750.22402929112
422,750000186,Ruisseau de Longchamp,75,0,O,1,6377.75937789685,10954.2382305825
423,780000011,Yvette,78,0,N,6,395.118921612419,1068.63875753569
